project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月,+7月,+8月
myflow,2021-08-17T03:43:39Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xsv,2023-09-28T04:58:06Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromeless,2023-09-19T21:28:05Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opencode,2023-10-12T18:07:14Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blitz,2021-03-05T19:08:35Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ConvertX,2021-12-22T19:36:26Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gguf-tools,2021-02-09T14:05:38Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awesome-cursorrules,2022-10-04T15:36:53Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netsaur,2020-08-29T21:39:44Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lorca,2025-10-12T19:50:53Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transformers-js,2020-06-21T04:45:49Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapper,2025-03-20T19:22:59Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
git-history,2024-10-10T07:22:20Z,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
fontogen,2025-04-26T17:59:53Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAD,2024-04-23T07:13:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
react-native-fast-tflite,2021-03-23T06:59:08Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pretty-ts-errors,2025-10-20T08:35:12Z,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
tty,2024-11-06T06:57:33Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haul,2022-06-15T19:54:47Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duf,2019-10-05T17:36:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survey,2025-10-23T08:24:06Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dns-blocklists,2024-06-16T14:23:42Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,2025-10-28T14:09:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Days-Of-JavaScript,2025-09-25T18:58:43Z,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0
screenity,2022-06-29T00:34:53Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agentic,2021-02-18T03:39:45Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node-v0.x-archive,2025-01-15T22:24:31Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
react-scan,2021-08-18T04:17:37Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dockge,2021-11-20T09:32:26Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walk,2020-10-26T09:12:19Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legit,2025-09-16T08:42:10Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viddy,2019-10-07T04:13:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ScpToolkit,2024-01-21T22:07:56Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZeroFormatter,2020-07-31T02:04:39Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jocko,2022-12-06T20:46:43Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superfine,2022-02-01T11:33:58Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phanpy,2019-10-26T12:20:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vue-mdc,2019-06-18T23:50:30Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
